"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10FDR"
"ILMN_2731523",-3.28215708425,10.639277912875,-61.7810509643569,1.48508495235617e-28,2.10659300491723e-24,52.2052843644518,23.6764193622524
"ILMN_2825109",-2.64753344216667,10.2046495639167,-56.6510571373724,1.24097819967666e-27,8.80163788120674e-24,50.6828893199261,23.0554365032383
"ILMN_2722488",-2.31435567033334,10.0062090223333,-46.7717648142058,1.34125154216271e-25,6.34188437519267e-22,47.0554993713564,21.1977816802644
"ILMN_2719361",2.94340992841667,10.769048256625,45.8116880755556,2.22420882904682e-25,7.88760056000729e-22,46.643535187131,21.1030550908378
"ILMN_1217061",-1.61747799258333,9.832373347875,-44.6242173099347,4.21871131746412e-25,1.19684840076457e-21,46.1169901538281,20.9219608561775
"ILMN_2895862",-2.9870766865,10.7445021584167,-39.0545667417918,1.08036146552998e-23,2.55415456475712e-20,43.3667802804921,19.5927528249309
"ILMN_2792502",-1.29735020058333,9.55291710804167,-37.8360250105204,2.33154001543009e-23,4.72469930269655e-20,42.6957152687757,19.3256258263791
"ILMN_3161626",-1.8621231565,10.2207878559167,-33.8522691657273,3.44599539317118e-22,6.11018058151666e-19,40.2962150162257,18.2139459543405
"ILMN_3009910",-1.2958202605,9.79451845391667,-33.4734750098325,4.52213218261112e-22,7.12738277892653e-19,40.0500759450981,18.1470699166189
"ILMN_2741402",-1.3552484095,9.50615770491667,-31.8599396577192,1.48891402050961e-21,2.11202453809288e-18,38.962839079423,17.6753010403539
"ILMN_2714138",-1.64165434508333,9.91053317579166,-30.6728467376586,3.71408097394248e-21,4.78947623776128e-18,38.1204670463405,17.3197119770838
"ILMN_2687140",-1.19254456,9.85788964916667,-30.3634578929256,4.73933709583761e-21,5.60229139203804e-18,37.8946565321418,17.2516343059618
"ILMN_2748875",-1.31572569266667,9.46816583241666,-30.0807356288123,5.93415640972472e-21,6.38384970507735e-18,37.6859661260432,17.1949173461285
"ILMN_2968123",2.61647821841667,10.4768627282917,30.0058102353358,6.30059188375629e-21,6.38384970507735e-18,37.6302803751849,17.1949173461285
"ILMN_2966034",-1.865936715,12.9464844733333,-28.9604321956756,1.47577757887632e-20,1.39559366375737e-17,36.8362771390143,16.8552410109934
"ILMN_2800380",-0.889166658916668,9.31524176654167,-27.1599738259809,6.85853600224129e-20,6.08052082448704e-17,35.3896140197209,16.2160592198205
"ILMN_2818206",-1.2540482135,9.45215860175,-24.6306052886612,7.03328410473494e-19,5.74732679390784e-16,33.1680263318527,15.2405341081115
"ILMN_1252308",-1.23964344875,9.43805930829167,-24.5715939106241,7.44520849398461e-19,5.74732679390784e-16,33.113297031449,15.2405341081115
"ILMN_1246118",-0.970562806666669,9.39378584366667,-24.5370070290155,7.69821706621424e-19,5.74732679390784e-16,33.0811548234649,15.2405341081115
"ILMN_2914957",-1.27371802758333,9.68239926870834,-23.0938366593921,3.23169689569277e-18,2.2920810232701e-15,31.6955683664571,14.6397700344633
"ILMN_1214953",-2.5187677055,11.38200897725,-23.0307178986248,3.44737407683872e-18,2.3286191085694e-15,31.6329154825969,14.6329015430559
"ILMN_2969172",1.35184281908333,9.904214117125,22.9766136826796,3.6441400649736e-18,2.34964212825684e-15,31.5790686006246,14.6289982796682
"ILMN_3150536",-1.01862977183333,10.0195512624167,-22.8147720866159,4.30542577835033e-18,2.65532455069128e-15,31.417209006457,14.5758823890985
"ILMN_2692986",-1.22029310358333,9.561554583875,-22.7297223152331,4.70178249248782e-18,2.77894936066416e-15,31.3316730542053,14.556119367071
