"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",547.618702264466,0.167604112973533,0.0888692508448536,1.88596293296242,0.0592999498398333,0.185498022944644
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA
"ENSMUSG00000000028",26.256680845098,-0.0969248773654806,0.205203774629217,-0.472334768405767,0.636687857163179,0.793710702717499
"ENSMUSG00000000037",13.4045325449468,-0.274831908305035,0.396495913084145,-0.693151932304306,0.48821420987513,0.68446993417434
"ENSMUSG00000000049",2.76448660420999,0.557039757031344,0.604390611664745,0.921655211514659,0.356708449684625,NA
"ENSMUSG00000000056",1020.95729534356,-0.0427173671916158,0.122096486691812,-0.349865654197244,0.726439523950185,0.852514181375654
"ENSMUSG00000000058",248.372981892437,0.120497999690725,0.139923863335783,0.861168329819193,0.389145340054932,0.599572591219023
"ENSMUSG00000000078",596.040318057197,0.152803311792687,0.109325948020404,1.39768567809875,0.162207476901238,0.354341477982844
"ENSMUSG00000000085",1071.37752266057,-0.0451151900968422,0.0724661695149681,-0.622568991831748,0.533567793231987,0.720311384475996
"ENSMUSG00000000088",1393.06869217032,0.441408051002686,0.0959464256577178,4.60056795213382,4.21340540259165e-06,0.000265950149011585
"ENSMUSG00000000093",30.0664258640068,-0.472807883680136,0.221578723501287,-2.13381445749411,0.032857971962284,0.126373250420367
"ENSMUSG00000000094",2.77507157344604,-1.49705389021214,0.634838601321729,-2.35816455882689,0.0183655496151664,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA
"ENSMUSG00000000120",58.6864967984158,0.0773373946329788,0.421124109526094,0.183645136632071,0.854291851353547,0.928278538820545
"ENSMUSG00000000125",27.2876905751815,-0.611238192931171,0.207635876059911,-2.94379855991171,0.00324210944971809,0.0274385840215537
"ENSMUSG00000000126",139.964519793336,-0.670958178751951,0.266309445107369,-2.51946820166832,0.011753225579211,0.0637937741100516
"ENSMUSG00000000127",271.606494069033,0.0257156801311941,0.0906478543547992,0.28368768697538,0.776649731607947,0.88483430572227
"ENSMUSG00000000131",1974.90843578904,-0.0841645480639517,0.145694959924072,-0.577676455711397,0.563482577749905,0.742385623118242
"ENSMUSG00000000134",681.375946414698,0.0288073233008271,0.110025094678571,0.261825026235926,0.793456343786724,0.895152425285971
"ENSMUSG00000000142",420.531636910727,-0.239662720009562,0.126537109784516,-1.89401133325781,0.058223505579026,0.183250470838684
"ENSMUSG00000000148",355.895056164983,-0.195824812963955,0.0914644566484924,-2.14099356339622,0.032274557126611,0.124993699822337
"ENSMUSG00000000149",1859.72018841073,-0.418156591510724,0.114898116149032,-3.63936855995396,0.000273307397054293,0.00519875537273851
"ENSMUSG00000000154",5.79150259776196,-0.0789953989434683,0.358148709326782,-0.220565918252106,0.825430440773426,0.912193390905018
"ENSMUSG00000000157",0.692579177900359,0.132368350290676,1.09505627068127,0.120878126389181,0.903787567724897,NA
"ENSMUSG00000000159",4.05826265326319,-0.800803063367277,0.557314959744668,-1.43689497180223,0.150747838879548,0.33763625642209
"ENSMUSG00000000167",30.4540824019874,0.425084551042382,0.267304241619784,1.59026489241808,0.111775108632338,0.278769439051944
"ENSMUSG00000000168",1402.05702056342,-0.057848578557502,0.0723345133782221,-0.799736887079393,0.423863256391113,0.629452270395961
"ENSMUSG00000000171",827.607647008093,-0.0128461030881479,0.0722962074227186,-0.177687095161662,0.858968720538772,0.930813382717735
"ENSMUSG00000000182",4.0158610869164,-0.443426084239655,0.514629150621645,-0.861641987641041,0.388884558164956,0.599330388051789
"ENSMUSG00000000183",4.47336055913522,-1.63739758948014,0.482398490405327,-3.39428423191032,0.000688082374961332,0.00984644176799571
"ENSMUSG00000000184",1881.98211325382,-0.370439867062306,0.132697365095118,-2.79161433836139,0.00524458245022837,0.0372883517879416
"ENSMUSG00000000194",954.916059659039,0.07421521989184,0.0876237207528473,0.846976358161879,0.397008299228991,0.606732704526926
"ENSMUSG00000000197",2568.13622496507,0.113191292185476,0.0706898797003449,1.60123758401195,0.109324307407266,0.275157753156703
"ENSMUSG00000000202",288.664314538777,-0.37954466062868,0.143507982534731,-2.64476340566508,0.00817480534220448,0.0500160939647834
"ENSMUSG00000000204",3.01176176230674,-0.37178955205656,0.483222186426856,-0.769396692659592,0.441657851387036,NA
"ENSMUSG00000000214",85.6366035264058,-0.127588631322382,0.207727986074782,-0.614210120327505,0.53907648660845,0.72329671906543
"ENSMUSG00000000215",1.00784774946758,-1.0687646247731,1.02979716346135,-1.03783993847951,0.299344579588655,NA
"ENSMUSG00000000216",1.58571334600377,0.177212094874908,0.794364585713308,0.223086600362199,0.823468106943412,NA
"ENSMUSG00000000223",1825.83570696167,0.0464437676841267,0.0684800914112491,0.678208319045811,0.497639618631294,0.691706318081518
"ENSMUSG00000000244",8.22371828430196,0.0479552250249635,0.456813819593122,0.104977614441867,0.916393571644299,0.959883890376851
